sensor_id,timestamp,location_id,pH,turbidity,TDS,DO,flow_rate,pressure,alert_flag,contamination_target,leak_target,hour,day,month,day_of_week,is_weekend,is_ph_normal,high_turbidity,high_tds,low_do,flow_pressure_ratio,water_quality_score,pressure_category_Medium,pressure_category_High,flow_category_Medium,flow_category_High
SNS-LOCB02-002,2025-05-01 01:45:00+00:00,ZONE-B,7.09,2.3,228.51,7.24,13.85,346.74,normal,0,0,1,1,5,3,0,1,0,0,0,0.03982860758037614,7.40498,False,False,False,False
SNS-LOCC01-001,2025-05-01 01:45:00+00:00,ZONE-C,7.2,1.69,225.86,7.18,12.03,356.18,normal,0,0,1,1,5,3,0,1,0,0,0,0.03368049722828825,7.580780000000001,False,False,False,False
SNS-LOCC02-002,2025-05-01 01:45:00+00:00,ZONE-C,7.4,2.26,247.05,7.18,14.08,334.67,normal,0,0,1,1,5,3,0,1,0,0,0,0.041945958828611435,7.455900000000001,False,False,False,False
SNS-LOCA01-001,2025-05-01 02:00:00+00:00,ZONE-A,7.44,1.6,202.88,8.8,14.05,334.87,normal,0,0,2,1,5,3,0,1,0,0,0,0.041831661059338436,8.126240000000001,False,False,False,False
SNS-LOCA02-002,2025-05-01 02:00:00+00:00,ZONE-A,7.24,1.21,221.67,7.81,14.83,338.61,normal,0,0,2,1,5,3,0,1,0,0,0,0.043667736521303846,7.87866,False,False,False,False
SNS-LOCB01-001,2025-05-01 02:00:00+00:00,ZONE-B,7.25,2.23,207.6,8.08,13.57,344.48,normal,0,0,2,1,5,3,0,1,0,0,0,0.03927868472849369,7.722299999999999,False,False,False,False
SNS-LOCB02-002,2025-05-01 02:00:00+00:00,ZONE-B,7.3,1.54,205.84,8.7,14.21,348.66,normal,0,0,2,1,5,3,0,1,0,0,0,0.04063947835039753,8.06832,False,False,False,False
SNS-LOCC01-001,2025-05-01 02:00:00+00:00,ZONE-C,7.1,1.19,238.46,7.94,13.85,348.52,normal,0,0,2,1,5,3,0,1,0,0,0,0.03962577248798352,7.84058,False,False,False,False
SNS-LOCC02-002,2025-05-01 02:00:00+00:00,ZONE-C,7.29,1.45,231.46,7.93,14.25,355.38,normal,0,0,2,1,5,3,0,1,0,0,0,0.03998540883326786,7.84408,False,False,False,False
SNS-LOCA01-001,2025-05-01 02:15:00+00:00,ZONE-A,7.18,1.16,205.9,7.7,12.41,356.93,normal,0,0,2,1,5,3,0,1,0,0,0,0.034671583829240356,7.877199999999999,False,False,False,False
SNS-LOCA02-002,2025-05-01 02:15:00+00:00,ZONE-A,7.19,2.13,254.19,8.01,11.8,346.95,normal,0,0,2,1,5,3,0,1,0,0,0,0.03391291852277627,7.61862,False,False,False,False
SNS-LOCB01-001,2025-05-01 02:15:00+00:00,ZONE-B,7.19,0.9,216.24,8.11,12.97,343.85,normal,0,0,2,1,5,3,0,1,0,0,0,0.037610555313904594,8.02702,False,False,False,False
SNS-LOCB02-002,2025-05-01 02:15:00+00:00,ZONE-B,7.09,2.21,217.61,7.67,13.07,357.63,normal,0,0,2,1,5,3,0,1,0,0,0,0.03644424615899395,7.55678,False,False,False,False
SNS-LOCC01-001,2025-05-01 02:15:00+00:00,ZONE-C,7.1,1.69,230.92,8.3,14.97,345.6,normal,0,0,2,1,5,3,0,1,0,0,0,0.043190998268897864,7.82066,False,False,False,False
SNS-LOCC02-002,2025-05-01 02:15:00+00:00,ZONE-C,7.37,1.18,214.05,8.48,14.35,350.02,normal,0,0,2,1,5,3,0,1,0,0,0,0.040880861489373824,8.1079,False,False,False,False
SNS-LOCA01-001,2025-05-01 02:30:00+00:00,ZONE-A,7.02,1.72,210.54,7.63,12.88,351.97,normal,0,0,2,1,5,3,0,1,0,0,0,0.03649035328781483,7.66242,False,False,False,False
SNS-LOCA02-002,2025-05-01 02:30:00+00:00,ZONE-A,6.88,1.64,222.61,7.77,14.72,354.89,normal,0,0,2,1,5,3,0,1,0,0,0,0.04136109472027874,7.65128,False,False,False,False
SNS-LOCB01-001,2025-05-01 02:30:00+00:00,ZONE-B,7.11,1.23,230.43,7.39,13.23,344.95,normal,0,0,2,1,5,3,0,1,0,0,0,0.03824252059546177,7.71214,False,False,False,False
SNS-LOCB02-002,2025-05-01 02:30:00+00:00,ZONE-B,7.21,1.58,220.55,8.45,13.84,347.48,normal,0,0,2,1,5,3,0,1,0,0,0,0.03971533516988062,7.9394,False,False,False,False
SNS-LOCC01-001,2025-05-01 02:30:00+00:00,ZONE-C,7.02,1.79,227.92,8.58,12.78,350.21,normal,0,0,2,1,5,3,0,1,0,0,0,0.036388485521482876,7.847659999999999,False,False,False,False
SNS-LOCC02-002,2025-05-01 02:30:00+00:00,ZONE-C,7.19,1.46,220.16,7.31,14.49,355.23,normal,0,0,2,1,5,3,0,1,0,0,0,0.0406759677736294,7.67918,False,False,False,False
SNS-LOCA01-001,2025-05-01 02:45:00+00:00,ZONE-A,7.37,2.4,215.22,7.99,13.73,365.54,normal,0,0,2,1,5,3,0,1,0,0,0,0.037458394718175365,7.67806,False,False,False,False
SNS-LOCA02-002,2025-05-01 02:45:00+00:00,ZONE-A,6.94,1.69,197.94,6.97,11.5,338.95,normal,0,0,2,1,5,3,0,1,0,0,0,0.03382850419179291,7.506119999999999,False,False,False,False
SNS-LOCB01-001,2025-05-01 02:45:00+00:00,ZONE-B,7.36,1.15,216.59,7.53,14.39,341.18,normal,0,0,2,1,5,3,0,1,0,0,0,0.04205388976562043,7.869820000000001,False,False,False,False
SNS-LOCB02-002,2025-05-01 02:45:00+00:00,ZONE-B,7.4,1.1,208.53,8.05,13.75,361.4,normal,0,0,2,1,5,3,0,1,0,0,0,0.03794150110375276,8.04044,False,False,False,False
SNS-LOCC01-001,2025-05-01 02:45:00+00:00,ZONE-C,7.22,1.02,211.59,7.77,14.52,353.07,normal,0,0,2,1,5,3,0,1,0,0,0,0.041008840059875165,7.930319999999999,False,False,False,False
SNS-LOCC02-002,2025-05-01 02:45:00+00:00,ZONE-C,7.18,1.85,212.07,7.95,13.92,362.23,normal,0,0,2,1,5,3,0,1,0,0,0,0.03832282575778432,7.75486,False,False,False,False
SNS-LOCA01-001,2025-05-01 03:00:00+00:00,ZONE-A,7.19,1.36,204.31,8.27,13.22,352.75,normal,0,0,3,1,5,3,0,1,0,0,0,0.037371024734982335,7.97588,False,False,False,False
SNS-LOCA02-002,2025-05-01 03:00:00+00:00,ZONE-A,6.91,1.92,200.02,7.69,15.05,339.32,normal,0,0,3,1,5,3,0,1,0,0,0,0.04422308415608839,7.615460000000001,False,False,False,False
SNS-LOCB01-001,2025-05-01 03:00:00+00:00,ZONE-B,7.19,1.53,205.02,8.54,15.54,334.23,normal,0,0,3,1,5,3,0,1,0,0,0,0.046356233034036326,7.999459999999999,False,False,False,False
SNS-LOCB02-002,2025-05-01 03:00:00+00:00,ZONE-B,6.98,1.82,200.45,7.84,14.02,355.53,normal,0,0,3,1,5,3,0,1,0,0,0,0.03932347909011864,7.698099999999999,False,False,False,False
SNS-LOCC01-001,2025-05-01 03:00:00+00:00,ZONE-C,7.17,1.54,208.35,8.52,13.32,352.72,normal,0,0,3,1,5,3,0,1,0,0,0,0.03765690376569038,7.9793,False,False,False,False
SNS-LOCC02-002,2025-05-01 03:00:00+00:00,ZONE-C,7.12,1.54,217.48,7.94,12.75,356.37,normal,0,0,3,1,5,3,0,1,0,0,0,0.03567730923132888,7.80104,False,False,False,False
SNS-LOCA01-001,2025-05-01 03:15:00+00:00,ZONE-A,7.41,1.6,230.99,8.34,15.08,352.43,normal,0,0,3,1,5,3,0,1,0,0,0,0.04266757207933679,7.946020000000001,False,False,False,False
SNS-LOCA02-002,2025-05-01 03:15:00+00:00,ZONE-A,7.23,1.85,221.03,7.61,14.06,334.89,normal,0,0,3,1,5,3,0,1,0,0,0,0.041858941915508055,7.66694,False,False,False,False
SNS-LOCB01-001,2025-05-01 03:15:00+00:00,ZONE-B,7.2,1.67,238.54,8.06,15.08,350.0,normal,0,0,3,1,5,3,0,1,0,0,0,0.04296296296296296,7.7804199999999994,False,False,False,False
SNS-LOCB02-002,2025-05-01 03:15:00+00:00,ZONE-B,7.05,0.94,205.45,7.45,14.75,348.34,normal,0,0,3,1,5,3,0,1,0,0,0,0.04222247667029255,7.8316,False,False,False,False
SNS-LOCC01-001,2025-05-01 03:15:00+00:00,ZONE-C,7.29,1.53,235.66,8.42,13.31,347.81,normal,0,0,3,1,5,3,0,1,0,0,0,0.03815830968148849,7.938180000000001,False,False,False,False
SNS-LOCC02-002,2025-05-01 03:15:00+00:00,ZONE-C,7.12,0.85,230.13,8.48,14.03,346.05,normal,0,0,3,1,5,3,0,1,0,0,0,0.040426451519953895,8.08324,False,False,False,False
SNS-LOCA01-001,2025-05-01 03:30:00+00:00,ZONE-A,7.36,0.56,222.66,8.06,13.56,361.13,normal,0,0,3,1,5,3,0,1,0,0,0,0.0374451163946649,8.13768,False,False,False,False
SNS-LOCA02-002,2025-05-01 03:30:00+00:00,ZONE-A,7.35,1.4,218.7,7.84,13.63,339.53,normal,0,0,3,1,5,3,0,1,0,0,0,0.040025842069714865,7.877599999999999,False,False,False,False
SNS-LOCB01-001,2025-05-01 03:30:00+00:00,ZONE-B,7.41,1.91,231.97,7.56,16.58,365.84,normal,0,0,3,1,5,3,0,1,0,0,0,0.045196816050594266,7.6715599999999995,False,False,False,False
SNS-LOCB02-002,2025-05-01 03:30:00+00:00,ZONE-B,7.23,1.14,207.0,8.17,13.17,349.73,normal,0,0,3,1,5,3,0,1,0,0,0,0.03755025233085279,8.012500000000001,False,False,False,False
SNS-LOCC01-001,2025-05-01 03:30:00+00:00,ZONE-C,7.36,0.9,250.09,8.63,12.8,338.69,normal,0,0,3,1,5,3,0,1,0,0,0,0.037681415408166274,8.140320000000001,False,False,False,False
SNS-LOCC02-002,2025-05-01 03:30:00+00:00,ZONE-C,7.16,1.09,216.04,6.97,13.95,364.42,normal,0,0,3,1,5,3,0,1,0,0,0,0.038175250396803674,7.68592,False,False,False,False
SNS-LOCA01-001,2025-05-01 03:45:00+00:00,ZONE-A,7.03,1.39,197.66,8.26,14.14,365.53,normal,0,0,3,1,5,3,0,1,0,0,0,0.03857801544211934,7.9311799999999995,False,False,False,False
SNS-LOCA02-002,2025-05-01 03:45:00+00:00,ZONE-A,7.23,1.35,228.25,7.8,12.86,352.42,normal,0,0,3,1,5,3,0,1,0,0,0,0.03638730122800068,7.825,False,False,False,False
SNS-LOCB01-001,2025-05-01 03:45:00+00:00,ZONE-B,7.17,1.57,225.63,7.8,14.89,363.9,normal,0,0,3,1,5,3,0,1,0,0,0,0.04080570019183338,7.75724,False,False,False,False
SNS-LOCB02-002,2025-05-01 03:45:00+00:00,ZONE-B,7.03,2.19,216.36,7.69,17.2,351.24,normal,0,0,3,1,5,3,0,1,0,0,0,0.048830342947990005,7.551280000000001,False,False,False,False
SNS-LOCC01-001,2025-05-01 03:45:00+00:00,ZONE-C,7.41,1.83,194.79,8.05,13.79,339.27,normal,0,0,3,1,5,3,0,1,0,0,0,0.0405266406089282,7.88842,False,False,False,False
SNS-LOCC02-002,2025-05-01 03:45:00+00:00,ZONE-C,6.93,1.54,228.85,8.16,14.05,343.61,normal,0,0,3,1,5,3,0,1,0,0,0,0.04077072632831317,7.7763,False,False,False,False
SNS-LOCA01-001,2025-05-01 04:00:00+00:00,ZONE-A,7.05,1.28,204.5,7.92,14.57,342.83,normal,0,0,4,1,5,3,0,1,0,0,0,0.04237559258936102,7.866,False,False,False,False
SNS-LOCA02-002,2025-05-01 04:00:00+00:00,ZONE-A,7.17,1.2,219.93,8.2,14.81,353.78,normal,0,0,4,1,5,3,0,1,0,0,0,0.041744179491515876,7.961139999999999,False,False,False,False
SNS-LOCB01-001,2025-05-01 04:00:00+00:00,ZONE-B,6.95,1.35,224.15,8.26,12.73,351.27,normal,0,0,4,1,5,3,0,1,0,0,0,0.03613705396428876,7.8642,False,False,False,False
SNS-LOCB02-002,2025-05-01 04:00:00+00:00,ZONE-B,7.38,1.43,218.58,8.18,14.89,355.4,normal,0,0,4,1,5,3,0,1,0,0,0,0.04177890011223345,7.96434,False,False,False,False
SNS-LOCC01-001,2025-05-01 04:00:00+00:00,ZONE-C,7.21,1.56,208.26,7.93,16.06,348.37,normal,0,0,4,1,5,3,0,1,0,0,0,0.0459684575092309,7.838979999999999,False,False,False,False
SNS-LOCC02-002,2025-05-01 04:00:00+00:00,ZONE-C,7.17,1.3,231.81,7.66,15.66,342.5,normal,0,0,4,1,5,3,0,1,0,0,0,0.045589519650655025,7.77738,False,False,False,False
SNS-LOCA01-001,2025-05-01 04:15:00+00:00,ZONE-A,7.04,1.58,221.95,8.12,16.07,346.7,normal,0,0,4,1,5,3,0,1,0,0,0,0.04621800402645959,7.803100000000001,False,False,False,False
SNS-LOCA02-002,2025-05-01 04:15:00+00:00,ZONE-A,7.27,1.14,238.89,8.25,15.45,351.5,normal,0,0,4,1,5,3,0,1,0,0,0,0.04382978723404255,7.980719999999999,False,False,False,False
SNS-LOCB01-001,2025-05-01 04:15:00+00:00,ZONE-B,7.08,1.37,227.53,7.99,14.96,339.12,normal,0,0,4,1,5,3,0,1,0,0,0,0.04398447606727038,7.82394,False,False,False,False
SNS-LOCB02-002,2025-05-01 04:15:00+00:00,ZONE-B,7.23,1.22,203.75,7.94,12.61,355.59,normal,0,0,4,1,5,3,0,1,0,0,0,0.035362741523878964,7.9415000000000004,False,False,False,False
SNS-LOCC01-001,2025-05-01 04:15:00+00:00,ZONE-C,7.33,1.48,205.09,7.62,14.63,330.61,normal,0,0,4,1,5,3,0,1,0,0,0,0.04411809052802992,7.82382,False,False,False,False
SNS-LOCC02-002,2025-05-01 04:15:00+00:00,ZONE-C,7.23,1.77,215.32,7.8,15.03,352.81,normal,0,0,4,1,5,3,0,1,0,0,0,0.04248042734801164,7.74586,False,False,False,False
SNS-LOCA01-001,2025-05-01 04:30:00+00:00,ZONE-A,7.36,1.51,209.65,7.82,15.25,362.45,normal,0,0,4,1,5,3,0,1,0,0,0,0.04195900398954464,7.866200000000001,False,False,False,False
SNS-LOCA02-002,2025-05-01 04:30:00+00:00,ZONE-A,7.15,1.08,206.95,7.16,15.43,339.11,normal,0,0,4,1,5,3,0,1,0,0,0,0.045367675163917556,7.7511,False,False,False,False
SNS-LOCB01-001,2025-05-01 04:30:00+00:00,ZONE-B,7.01,0.71,203.23,8.23,13.45,336.0,normal,0,0,4,1,5,3,0,1,0,0,0,0.039910979228486645,8.07654,False,False,False,False
SNS-LOCB02-002,2025-05-01 04:30:00+00:00,ZONE-B,7.23,1.36,226.48,8.3,15.02,339.62,normal,0,0,4,1,5,3,0,1,0,0,0,0.044096060125653216,7.951040000000001,False,False,False,False
SNS-LOCC01-001,2025-05-01 04:30:00+00:00,ZONE-C,7.18,1.7,211.26,7.43,16.35,346.68,normal,0,0,4,1,5,3,0,1,0,0,0,0.047026000920386564,7.6639800000000005,False,False,False,False
SNS-LOCC02-002,2025-05-01 04:30:00+00:00,ZONE-C,7.14,1.51,235.46,8.11,14.63,355.46,normal,0,0,4,1,5,3,0,1,0,0,0,0.04104247320877518,7.82108,False,False,False,False
SNS-LOCA01-001,2025-05-01 04:45:00+00:00,ZONE-A,7.52,2.06,230.09,7.55,19.83,340.41,normal,0,0,4,1,5,3,0,1,0,0,0,0.05808265721566444,7.66832,False,False,False,False
SNS-LOCA02-002,2025-05-01 04:45:00+00:00,ZONE-A,7.14,1.22,244.4,8.17,13.51,352.14,normal,0,0,4,1,5,3,0,1,0,0,0,0.03825678201279946,7.890700000000001,False,False,False,False
SNS-LOCB01-001,2025-05-01 04:45:00+00:00,ZONE-B,7.28,1.37,201.7,7.71,14.72,350.18,normal,0,0,4,1,5,3,0,1,0,0,0,0.04191582664160829,7.865600000000001,False,False,False,False
SNS-LOCB02-002,2025-05-01 04:45:00+00:00,ZONE-B,7.12,1.79,205.75,7.31,14.35,360.79,normal,0,0,4,1,5,3,0,1,0,0,0,0.039663893418834126,7.6045,False,False,False,False
SNS-LOCC01-001,2025-05-01 04:45:00+00:00,ZONE-C,7.11,2.44,227.37,7.53,14.23,351.95,normal,0,0,4,1,5,3,0,1,0,0,0,0.040317325400198334,7.45076,False,False,False,False
SNS-LOCC02-002,2025-05-01 04:45:00+00:00,ZONE-C,7.02,2.45,205.14,8.27,17.03,349.13,normal,0,0,4,1,5,3,0,1,0,0,0,0.04863907691428898,7.65072,False,False,False,False
SNS-LOCA01-001,2025-05-01 05:00:00+00:00,ZONE-A,7.05,1.39,225.43,8.35,15.55,338.8,normal,0,0,5,1,5,3,0,1,0,0,0,0.04576221306650971,7.90414,False,False,False,False
SNS-LOCA02-002,2025-05-01 05:00:00+00:00,ZONE-A,7.21,1.23,187.25,7.72,13.71,354.69,normal,0,0,5,1,5,3,0,1,0,0,0,0.038544800247406454,7.910999999999999,False,False,False,False
SNS-LOCB01-001,2025-05-01 05:00:00+00:00,ZONE-B,7.49,2.24,211.4,7.81,16.33,358.49,normal,0,0,5,1,5,3,0,1,0,0,0,0.04542546385156749,7.7166999999999994,False,False,False,False
SNS-LOCB02-002,2025-05-01 05:00:00+00:00,ZONE-B,7.14,1.44,253.1,7.96,14.88,350.96,normal,0,0,5,1,5,3,0,1,0,0,0,0.04227753153767474,7.7658000000000005,False,False,False,False
SNS-LOCC01-001,2025-05-01 05:00:00+00:00,ZONE-C,7.29,1.09,216.27,7.53,15.13,365.02,normal,0,0,5,1,5,3,0,1,0,0,0,0.04133653898694061,7.864460000000001,False,False,False,False
SNS-LOCC02-002,2025-05-01 05:00:00+00:00,ZONE-C,7.31,1.46,206.0,7.88,16.78,345.51,normal,0,0,5,1,5,3,0,1,0,0,0,0.04842573085913827,7.885999999999999,False,False,False,False
