sensor_id,timestamp,location_id,pH,turbidity,TDS,DO,flow_rate,pressure,alert_flag,contamination_target,leak_target
SNS-LOCC02-002,2025-05-01 01:45:00+00:00,ZONE-C,7.4,2.26,247.05,7.18,14.08,334.67,normal,0,0
SNS-LOCA01-001,2025-05-01 02:00:00+00:00,ZONE-A,7.44,1.6,202.88,8.8,14.05,334.87,normal,0,0
SNS-LOCA02-002,2025-05-01 02:00:00+00:00,ZONE-A,7.24,1.21,221.67,7.81,14.83,338.61,normal,0,0
SNS-LOCB01-001,2025-05-01 02:00:00+00:00,ZONE-B,7.25,2.23,207.6,8.08,13.57,344.48,normal,0,0
SNS-LOCB02-002,2025-05-01 02:00:00+00:00,ZONE-B,7.3,1.54,205.84,8.7,14.21,348.66,normal,0,0
SNS-LOCC01-001,2025-05-01 02:00:00+00:00,ZONE-C,7.1,1.19,238.46,7.94,13.85,348.52,normal,0,0
SNS-LOCC02-002,2025-05-01 02:00:00+00:00,ZONE-C,7.29,1.45,231.46,7.93,14.25,355.38,normal,0,0
SNS-LOCA01-001,2025-05-01 02:15:00+00:00,ZONE-A,7.18,1.16,205.9,7.7,12.41,356.93,normal,0,0
SNS-LOCA02-002,2025-05-01 02:15:00+00:00,ZONE-A,7.19,2.13,254.19,8.01,11.8,346.95,normal,0,0
SNS-LOCB01-001,2025-05-01 02:15:00+00:00,ZONE-B,7.19,0.9,216.24,8.11,12.97,343.85,normal,0,0
SNS-LOCB02-002,2025-05-01 02:15:00+00:00,ZONE-B,7.09,2.21,217.61,7.67,13.07,357.63,normal,0,0
SNS-LOCC01-001,2025-05-01 02:15:00+00:00,ZONE-C,7.1,1.69,230.92,8.3,14.97,345.6,normal,0,0
SNS-LOCC02-002,2025-05-01 02:15:00+00:00,ZONE-C,7.37,1.18,214.05,8.48,14.35,350.02,normal,0,0
SNS-LOCA01-001,2025-05-01 02:30:00+00:00,ZONE-A,7.02,1.72,210.54,7.63,12.88,351.97,normal,0,0
SNS-LOCA02-002,2025-05-01 02:30:00+00:00,ZONE-A,6.88,1.64,222.61,7.77,14.72,354.89,normal,0,0
SNS-LOCB01-001,2025-05-01 02:30:00+00:00,ZONE-B,7.11,1.23,230.43,7.39,13.23,344.95,normal,0,0
SNS-LOCB02-002,2025-05-01 02:30:00+00:00,ZONE-B,7.21,1.58,220.55,8.45,13.84,347.48,normal,0,0
SNS-LOCC01-001,2025-05-01 02:30:00+00:00,ZONE-C,7.02,1.79,227.92,8.58,12.78,350.21,normal,0,0
SNS-LOCC02-002,2025-05-01 02:30:00+00:00,ZONE-C,7.19,1.46,220.16,7.31,14.49,355.23,normal,0,0
SNS-LOCA01-001,2025-05-01 02:45:00+00:00,ZONE-A,7.37,2.4,215.22,7.99,13.73,365.54,normal,0,0
SNS-LOCA02-002,2025-05-01 02:45:00+00:00,ZONE-A,6.94,1.69,197.94,6.97,11.5,338.95,normal,0,0
SNS-LOCB01-001,2025-05-01 02:45:00+00:00,ZONE-B,7.36,1.15,216.59,7.53,14.39,341.18,normal,0,0
SNS-LOCB02-002,2025-05-01 02:45:00+00:00,ZONE-B,7.4,1.1,208.53,8.05,13.75,361.4,normal,0,0
SNS-LOCC01-001,2025-05-01 02:45:00+00:00,ZONE-C,7.22,1.02,211.59,7.77,14.52,353.07,normal,0,0
SNS-LOCC02-002,2025-05-01 02:45:00+00:00,ZONE-C,7.18,1.85,212.07,7.95,13.92,362.23,normal,0,0
SNS-LOCA01-001,2025-05-01 03:00:00+00:00,ZONE-A,7.19,1.36,204.31,8.27,13.22,352.75,normal,0,0
SNS-LOCA02-002,2025-05-01 03:00:00+00:00,ZONE-A,6.91,1.92,200.02,7.69,15.05,339.32,normal,0,0
SNS-LOCB01-001,2025-05-01 03:00:00+00:00,ZONE-B,7.19,1.53,205.02,8.54,15.54,334.23,normal,0,0
SNS-LOCB02-002,2025-05-01 03:00:00+00:00,ZONE-B,6.98,1.82,200.45,7.84,14.02,355.53,normal,0,0
SNS-LOCC01-001,2025-05-01 03:00:00+00:00,ZONE-C,7.17,1.54,208.35,8.52,13.32,352.72,normal,0,0
SNS-LOCC02-002,2025-05-01 03:00:00+00:00,ZONE-C,7.12,1.54,217.48,7.94,12.75,356.37,normal,0,0
SNS-LOCA01-001,2025-05-01 03:15:00+00:00,ZONE-A,7.41,1.6,230.99,8.34,15.08,352.43,normal,0,0
SNS-LOCA02-002,2025-05-01 03:15:00+00:00,ZONE-A,7.23,1.85,221.03,7.61,14.06,334.89,normal,0,0
SNS-LOCB01-001,2025-05-01 03:15:00+00:00,ZONE-B,7.2,1.67,238.54,8.06,15.08,350.0,normal,0,0
SNS-LOCB02-002,2025-05-01 03:15:00+00:00,ZONE-B,7.05,0.94,205.45,7.45,14.75,348.34,normal,0,0
SNS-LOCC01-001,2025-05-01 03:15:00+00:00,ZONE-C,7.29,1.53,235.66,8.42,13.31,347.81,normal,0,0
SNS-LOCC02-002,2025-05-01 03:15:00+00:00,ZONE-C,7.12,0.85,230.13,8.48,14.03,346.05,normal,0,0
SNS-LOCA01-001,2025-05-01 03:30:00+00:00,ZONE-A,7.36,0.56,222.66,8.06,13.56,361.13,normal,0,0
SNS-LOCA02-002,2025-05-01 03:30:00+00:00,ZONE-A,7.35,1.4,218.7,7.84,13.63,339.53,normal,0,0
SNS-LOCB01-001,2025-05-01 03:30:00+00:00,ZONE-B,7.41,1.91,231.97,7.56,16.58,365.84,normal,0,0
SNS-LOCB02-002,2025-05-01 03:30:00+00:00,ZONE-B,7.23,1.14,207.0,8.17,13.17,349.73,normal,0,0
SNS-LOCC01-001,2025-05-01 03:30:00+00:00,ZONE-C,7.36,0.9,250.09,8.63,12.8,338.69,normal,0,0
SNS-LOCC02-002,2025-05-01 03:30:00+00:00,ZONE-C,7.16,1.09,216.04,6.97,13.95,364.42,normal,0,0
SNS-LOCA01-001,2025-05-01 03:45:00+00:00,ZONE-A,7.03,1.39,197.66,8.26,14.14,365.53,normal,0,0
SNS-LOCA02-002,2025-05-01 03:45:00+00:00,ZONE-A,7.23,1.35,228.25,7.8,12.86,352.42,normal,0,0
SNS-LOCB01-001,2025-05-01 03:45:00+00:00,ZONE-B,7.17,1.57,225.63,7.8,14.89,363.9,normal,0,0
SNS-LOCB02-002,2025-05-01 03:45:00+00:00,ZONE-B,7.03,2.19,216.36,7.69,17.2,351.24,normal,0,0
SNS-LOCC01-001,2025-05-01 03:45:00+00:00,ZONE-C,7.41,1.83,194.79,8.05,13.79,339.27,normal,0,0
SNS-LOCC02-002,2025-05-01 03:45:00+00:00,ZONE-C,6.93,1.54,228.85,8.16,14.05,343.61,normal,0,0
SNS-LOCA01-001,2025-05-01 04:00:00+00:00,ZONE-A,7.05,1.28,204.5,7.92,14.57,342.83,normal,0,0
SNS-LOCA02-002,2025-05-01 04:00:00+00:00,ZONE-A,7.17,1.2,219.93,8.2,14.81,353.78,normal,0,0
SNS-LOCB01-001,2025-05-01 04:00:00+00:00,ZONE-B,6.95,1.35,224.15,8.26,12.73,351.27,normal,0,0
SNS-LOCB02-002,2025-05-01 04:00:00+00:00,ZONE-B,7.38,1.43,218.58,8.18,14.89,355.4,normal,0,0
SNS-LOCC01-001,2025-05-01 04:00:00+00:00,ZONE-C,7.21,1.56,208.26,7.93,16.06,348.37,normal,0,0
SNS-LOCC02-002,2025-05-01 04:00:00+00:00,ZONE-C,7.17,1.3,231.81,7.66,15.66,342.5,normal,0,0
SNS-LOCA01-001,2025-05-01 04:15:00+00:00,ZONE-A,7.04,1.58,221.95,8.12,16.07,346.7,normal,0,0
SNS-LOCA02-002,2025-05-01 04:15:00+00:00,ZONE-A,7.27,1.14,238.89,8.25,15.45,351.5,normal,0,0
SNS-LOCB01-001,2025-05-01 04:15:00+00:00,ZONE-B,7.08,1.37,227.53,7.99,14.96,339.12,normal,0,0
SNS-LOCB02-002,2025-05-01 04:15:00+00:00,ZONE-B,7.23,1.22,203.75,7.94,12.61,355.59,normal,0,0
SNS-LOCC01-001,2025-05-01 04:15:00+00:00,ZONE-C,7.33,1.48,205.09,7.62,14.63,330.61,normal,0,0
SNS-LOCC02-002,2025-05-01 04:15:00+00:00,ZONE-C,7.23,1.77,215.32,7.8,15.03,352.81,normal,0,0
SNS-LOCA01-001,2025-05-01 04:30:00+00:00,ZONE-A,7.36,1.51,209.65,7.82,15.25,362.45,normal,0,0
SNS-LOCA02-002,2025-05-01 04:30:00+00:00,ZONE-A,7.15,1.08,206.95,7.16,15.43,339.11,normal,0,0
SNS-LOCB01-001,2025-05-01 04:30:00+00:00,ZONE-B,7.01,0.71,203.23,8.23,13.45,336.0,normal,0,0
SNS-LOCB02-002,2025-05-01 04:30:00+00:00,ZONE-B,7.23,1.36,226.48,8.3,15.02,339.62,normal,0,0
SNS-LOCC01-001,2025-05-01 04:30:00+00:00,ZONE-C,7.18,1.7,211.26,7.43,16.35,346.68,normal,0,0
SNS-LOCC02-002,2025-05-01 04:30:00+00:00,ZONE-C,7.14,1.51,235.46,8.11,14.63,355.46,normal,0,0
SNS-LOCA01-001,2025-05-01 04:45:00+00:00,ZONE-A,7.52,2.06,230.09,7.55,19.83,340.41,normal,0,0
SNS-LOCA02-002,2025-05-01 04:45:00+00:00,ZONE-A,7.14,1.22,244.4,8.17,13.51,352.14,normal,0,0
SNS-LOCB01-001,2025-05-01 04:45:00+00:00,ZONE-B,7.28,1.37,201.7,7.71,14.72,350.18,normal,0,0
SNS-LOCB02-002,2025-05-01 04:45:00+00:00,ZONE-B,7.12,1.79,205.75,7.31,14.35,360.79,normal,0,0
SNS-LOCC01-001,2025-05-01 04:45:00+00:00,ZONE-C,7.11,2.44,227.37,7.53,14.23,351.95,normal,0,0
SNS-LOCC02-002,2025-05-01 04:45:00+00:00,ZONE-C,7.02,2.45,205.14,8.27,17.03,349.13,normal,0,0
SNS-LOCA01-001,2025-05-01 05:00:00+00:00,ZONE-A,7.05,1.39,225.43,8.35,15.55,338.8,normal,0,0
SNS-LOCA02-002,2025-05-01 05:00:00+00:00,ZONE-A,7.21,1.23,187.25,7.72,13.71,354.69,normal,0,0
SNS-LOCB01-001,2025-05-01 05:00:00+00:00,ZONE-B,7.49,2.24,211.4,7.81,16.33,358.49,normal,0,0
SNS-LOCB02-002,2025-05-01 05:00:00+00:00,ZONE-B,7.14,1.44,253.1,7.96,14.88,350.96,normal,0,0
SNS-LOCC01-001,2025-05-01 05:00:00+00:00,ZONE-C,7.29,1.09,216.27,7.53,15.13,365.02,normal,0,0
SNS-LOCC02-002,2025-05-01 05:00:00+00:00,ZONE-C,7.31,1.46,206.0,7.88,16.78,345.51,normal,0,0
SNS-LOCA01-001,2025-05-01 05:15:00+00:00,ZONE-A,7.42,0.95,215.65,8.7,13.18,359.51,normal,0,0
SNS-LOCA02-002,2025-05-01 05:15:00+00:00,ZONE-A,6.92,1.46,217.41,8.33,11.74,334.66,normal,0,0
SNS-LOCB01-001,2025-05-01 05:15:00+00:00,ZONE-B,7.12,1.51,206.6,7.91,14.22,346.79,normal,0,0
SNS-LOCB02-002,2025-05-01 05:15:00+00:00,ZONE-B,7.07,1.6,228.72,8.57,14.88,347.46,normal,0,0
SNS-LOCC01-001,2025-05-01 05:15:00+00:00,ZONE-C,7.21,1.38,219.22,7.38,16.17,342.68,normal,0,0
SNS-LOCC02-002,2025-05-01 05:15:00+00:00,ZONE-C,7.06,0.86,237.42,7.94,17.15,352.18,normal,0,0
SNS-LOCA01-001,2025-05-01 05:30:00+00:00,ZONE-A,6.94,1.07,231.37,7.69,14.54,348.56,normal,0,0
SNS-LOCA02-002,2025-05-01 05:30:00+00:00,ZONE-A,7.17,1.1,215.11,7.81,12.63,354.02,normal,0,0
SNS-LOCB01-001,2025-05-01 05:30:00+00:00,ZONE-B,7.08,2.02,202.75,7.37,17.44,337.32,normal,0,0
SNS-LOCB02-002,2025-05-01 05:30:00+00:00,ZONE-B,7.1,1.74,215.06,7.34,16.17,348.45,normal,0,0
SNS-LOCC01-001,2025-05-01 05:30:00+00:00,ZONE-C,7.39,1.74,265.54,7.34,15.9,341.47,normal,0,0
SNS-LOCC02-002,2025-05-01 05:30:00+00:00,ZONE-C,7.37,1.83,231.31,7.69,14.98,333.76,normal,0,0
SNS-LOCA01-001,2025-05-01 05:45:00+00:00,ZONE-A,7.46,1.7,216.09,8.37,17.12,357.8,normal,0,0
SNS-LOCA02-002,2025-05-01 05:45:00+00:00,ZONE-A,6.96,1.21,222.93,8.14,17.38,341.93,normal,0,0
SNS-LOCB01-001,2025-05-01 05:45:00+00:00,ZONE-B,7.22,2.38,230.38,8.35,16.12,356.14,normal,0,0
SNS-LOCB02-002,2025-05-01 05:45:00+00:00,ZONE-B,7.47,1.54,238.36,7.65,16.91,357.23,normal,0,0
SNS-LOCC01-001,2025-05-01 05:45:00+00:00,ZONE-C,7.09,1.94,209.87,7.68,16.15,365.46,normal,0,0
SNS-LOCC02-002,2025-05-01 05:45:00+00:00,ZONE-C,7.25,1.87,209.02,8.03,14.63,345.43,normal,0,0
SNS-LOCA01-001,2025-05-01 06:00:00+00:00,ZONE-A,7.33,1.48,241.77,7.92,16.09,360.21,normal,0,0
SNS-LOCA02-002,2025-05-01 06:00:00+00:00,ZONE-A,7.1,0.89,239.52,8.17,13.52,350.36,normal,0,0
SNS-LOCB01-001,2025-05-01 06:00:00+00:00,ZONE-B,7.14,2.2,209.07,7.77,15.16,341.57,normal,0,0
SNS-LOCB02-002,2025-05-01 06:00:00+00:00,ZONE-B,7.09,0.93,204.53,7.36,14.39,337.52,normal,0,0
SNS-LOCC01-001,2025-05-01 06:00:00+00:00,ZONE-C,7.12,1.23,201.6,8.19,16.29,346.54,normal,0,0
SNS-LOCC02-002,2025-05-01 06:00:00+00:00,ZONE-C,7.13,2.14,223.6,8.19,12.97,344.77,normal,0,0
SNS-LOCA01-001,2025-05-01 06:15:00+00:00,ZONE-A,6.87,1.33,225.6,7.73,17.23,341.82,normal,0,0
SNS-LOCA02-002,2025-05-01 06:15:00+00:00,ZONE-A,7.29,0.88,216.07,8.17,17.26,348.98,normal,0,0
SNS-LOCB01-001,2025-05-01 06:15:00+00:00,ZONE-B,7.49,1.33,213.24,6.9,18.89,347.05,normal,0,0
SNS-LOCB02-002,2025-05-01 06:15:00+00:00,ZONE-B,7.02,2.03,238.53,8.04,14.65,353.35,normal,0,0
SNS-LOCC01-001,2025-05-01 06:15:00+00:00,ZONE-C,7.11,1.03,235.65,7.15,17.3,353.67,normal,0,0
SNS-LOCC02-002,2025-05-01 06:15:00+00:00,ZONE-C,7.51,1.63,189.12,7.67,16.63,352.84,normal,0,0
SNS-LOCA01-001,2025-05-01 06:30:00+00:00,ZONE-A,7.35,0.72,215.05,8.39,18.79,364.89,normal,0,0
SNS-LOCA02-002,2025-05-01 06:30:00+00:00,ZONE-A,7.14,1.94,245.68,8.48,17.69,356.62,normal,0,0
SNS-LOCB01-001,2025-05-01 06:30:00+00:00,ZONE-B,7.08,0.92,234.74,7.86,16.68,345.37,normal,0,0
SNS-LOCB02-002,2025-05-01 06:30:00+00:00,ZONE-B,7.14,1.59,204.67,8.03,17.05,349.38,normal,0,0
SNS-LOCC01-001,2025-05-01 06:30:00+00:00,ZONE-C,7.09,1.81,248.09,7.76,18.37,357.11,normal,0,0
SNS-LOCC02-002,2025-05-01 06:30:00+00:00,ZONE-C,6.8,1.2,210.46,8.31,16.97,353.8,normal,0,0
SNS-LOCA01-001,2025-05-01 06:45:00+00:00,ZONE-A,7.3,1.14,208.8,7.51,16.65,349.05,normal,0,0
SNS-LOCA02-002,2025-05-01 06:45:00+00:00,ZONE-A,7.23,1.21,233.6,8.37,18.96,355.69,normal,0,0
SNS-LOCB01-001,2025-05-01 06:45:00+00:00,ZONE-B,7.23,1.77,229.15,7.74,18.62,363.75,normal,0,0
SNS-LOCB02-002,2025-05-01 06:45:00+00:00,ZONE-B,7.5,1.51,224.86,8.17,16.87,354.95,normal,0,0
SNS-LOCC01-001,2025-05-01 06:45:00+00:00,ZONE-C,7.18,1.42,246.38,8.07,16.97,357.06,normal,0,0
SNS-LOCC02-002,2025-05-01 06:45:00+00:00,ZONE-C,7.22,1.62,219.05,7.51,16.83,340.9,normal,0,0
SNS-LOCA01-001,2025-05-01 07:00:00+00:00,ZONE-A,7.23,1.03,233.75,8.3,17.39,349.2,normal,0,0
SNS-LOCA02-002,2025-05-01 07:00:00+00:00,ZONE-A,7.26,0.71,203.55,7.94,17.48,349.36,normal,0,0
SNS-LOCB01-001,2025-05-01 07:00:00+00:00,ZONE-B,7.05,1.55,213.19,7.57,17.46,348.32,normal,0,0
SNS-LOCB02-002,2025-05-01 07:00:00+00:00,ZONE-B,7.38,1.77,231.02,8.13,15.86,342.51,normal,0,0
SNS-LOCC01-001,2025-05-01 07:00:00+00:00,ZONE-C,6.98,2.65,203.81,7.92,16.52,347.75,normal,0,0
SNS-LOCC02-002,2025-05-01 07:00:00+00:00,ZONE-C,7.11,0.75,205.03,7.44,16.83,344.53,normal,0,0
SNS-LOCA01-001,2025-05-01 07:15:00+00:00,ZONE-A,7.1,1.59,211.26,8.37,16.58,351.8,normal,0,0
SNS-LOCA02-002,2025-05-01 07:15:00+00:00,ZONE-A,7.0,1.76,213.92,8.16,17.56,348.61,normal,0,0
SNS-LOCB01-001,2025-05-01 07:15:00+00:00,ZONE-B,7.23,1.35,240.19,8.37,17.77,340.56,normal,0,0
SNS-LOCB02-002,2025-05-01 07:15:00+00:00,ZONE-B,7.04,1.23,216.32,8.18,15.88,359.42,normal,0,0
SNS-LOCC01-001,2025-05-01 07:15:00+00:00,ZONE-C,7.2,0.69,212.87,6.97,16.08,345.61,normal,0,0
SNS-LOCC02-002,2025-05-01 07:15:00+00:00,ZONE-C,7.11,1.37,214.09,7.76,19.17,359.72,normal,0,0
SNS-LOCA01-001,2025-05-01 07:30:00+00:00,ZONE-A,7.03,2.0,195.68,7.67,19.29,332.08,normal,0,0
SNS-LOCA02-002,2025-05-01 07:30:00+00:00,ZONE-A,7.29,1.0,217.84,7.93,19.52,343.52,normal,0,0
SNS-LOCB01-001,2025-05-01 07:30:00+00:00,ZONE-B,7.19,1.75,216.22,7.67,17.11,350.75,normal,0,0
SNS-LOCB02-002,2025-05-01 07:30:00+00:00,ZONE-B,7.33,1.12,213.26,8.13,16.96,348.52,normal,0,0
SNS-LOCC01-001,2025-05-01 07:30:00+00:00,ZONE-C,7.2,1.22,208.0,8.18,15.68,359.32,normal,0,0
SNS-LOCC02-002,2025-05-01 07:30:00+00:00,ZONE-C,7.23,0.99,224.25,8.07,18.24,359.27,normal,0,0
SNS-LOCA01-001,2025-05-01 07:45:00+00:00,ZONE-A,7.15,1.22,210.91,7.61,16.21,352.28,normal,0,0
SNS-LOCA02-002,2025-05-01 07:45:00+00:00,ZONE-A,7.2,1.3,208.93,8.14,16.54,341.68,normal,0,0
SNS-LOCB01-001,2025-05-01 07:45:00+00:00,ZONE-B,7.18,1.39,203.95,8.33,18.4,350.33,normal,0,0
SNS-LOCB02-002,2025-05-01 07:45:00+00:00,ZONE-B,7.22,1.71,219.54,8.36,19.52,350.64,normal,0,0
SNS-LOCC01-001,2025-05-01 07:45:00+00:00,ZONE-C,7.27,1.85,214.93,7.55,18.48,337.45,normal,0,0
SNS-LOCC02-002,2025-05-01 07:45:00+00:00,ZONE-C,7.47,1.85,222.82,8.02,19.65,342.43,normal,0,0
SNS-LOCA01-001,2025-05-01 08:00:00+00:00,ZONE-A,7.03,1.26,216.07,7.6,17.46,351.09,normal,0,0
SNS-LOCA02-002,2025-05-01 08:00:00+00:00,ZONE-A,7.08,2.14,199.12,7.49,17.77,348.34,normal,0,0
SNS-LOCB01-001,2025-05-01 08:00:00+00:00,ZONE-B,7.26,1.25,204.5,7.74,16.31,354.2,normal,0,0
SNS-LOCB02-002,2025-05-01 08:00:00+00:00,ZONE-B,7.13,1.8,228.82,8.42,18.49,356.27,normal,0,0
SNS-LOCC01-001,2025-05-01 08:00:00+00:00,ZONE-C,7.32,1.29,216.07,7.27,17.65,344.61,normal,0,0
SNS-LOCC02-002,2025-05-01 08:00:00+00:00,ZONE-C,7.26,1.71,199.72,7.59,16.77,345.86,normal,0,0
SNS-LOCA01-001,2025-05-01 08:15:00+00:00,ZONE-A,7.23,1.04,220.71,7.32,14.26,355.73,normal,0,0
SNS-LOCA02-002,2025-05-01 08:15:00+00:00,ZONE-A,7.0,1.28,198.74,7.44,16.68,346.72,normal,0,0
SNS-LOCB01-001,2025-05-01 08:15:00+00:00,ZONE-B,7.35,1.68,216.08,8.3,18.77,353.29,normal,0,0
SNS-LOCB02-002,2025-05-01 08:15:00+00:00,ZONE-B,7.14,1.91,246.53,8.26,19.68,357.41,normal,0,0
SNS-LOCC01-001,2025-05-01 08:15:00+00:00,ZONE-C,7.33,1.06,203.3,7.98,14.93,345.26,normal,0,0
SNS-LOCC02-002,2025-05-01 08:15:00+00:00,ZONE-C,7.33,1.23,228.0,7.46,16.55,358.19,normal,0,0
SNS-LOCA01-001,2025-05-01 08:30:00+00:00,ZONE-A,7.23,1.62,245.57,8.52,15.98,360.54,normal,0,0
SNS-LOCA02-002,2025-05-01 08:30:00+00:00,ZONE-A,7.11,1.49,220.23,8.43,15.64,353.61,normal,0,0
SNS-LOCB01-001,2025-05-01 08:30:00+00:00,ZONE-B,7.28,1.82,216.84,8.4,16.21,359.18,normal,0,0
